,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.5422,0.5277,0.5298,0.511,0.6099,0.5422,0.5565,0.7403,0.7509,"{'pca__n_components': 0.7, 'clf__n_estimators': 357, 'clf__max_depth': 3, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.3665,0.6243,0.4618,0.7013,0.4508,0.4231,0.4365,0.7658,0.7657,0.5421,0.6347,0.7539,0.7,357.0,3.0,20.0,2.0,sqrt,True,balanced,,,,,,,,,
1,RF,2,0.3894,0.3697,0.3701,0.367,0.3831,0.3894,0.3837,0.5619,0.5708,"{'pca__n_components': 0.7, 'clf__n_estimators': 349, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.3091,0.3498,0.3282,0.5534,0.3114,0.2281,0.2633,0.5339,0.4887,0.5323,0.5096,0.5986,0.7,349.0,3.0,17.0,3.0,log2,True,balanced,,,,,,,,,
2,RF,3,0.4,0.4551,0.4582,0.3532,0.5078,0.4,0.359,0.6508,0.5896,"{'pca__n_components': 0.95, 'clf__n_estimators': 324, 'clf__max_depth': 5, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__bootstrap': False, 'clf__class_weight': None}",0.6728,0.2909,0.4062,0.6562,0.3714,0.1105,0.1703,0.5168,0.3212,0.9732,0.4829,0.7795,0.95,324.0,5.0,17.0,3.0,log2,False,,,,,,,,,,
3,RF,4,0.5321,0.4744,0.4678,0.4686,0.5329,0.5321,0.5308,0.6992,0.6725,"{'pca__n_components': 0.99, 'clf__n_estimators': 211, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.4173,0.4904,0.451,0.6649,0.3333,0.2611,0.2928,0.7019,0.6727,0.6518,0.6621,0.7308,0.99,211.0,3.0,17.0,2.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.5316,0.5126,0.5024,0.4706,0.5606,0.5316,0.5019,0.7257,0.7444,"{'pca__n_components': 0.99, 'clf__n_estimators': 211, 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",0.7053,0.3342,0.4535,0.7502,0.2757,0.2563,0.2656,0.6116,0.5567,0.9167,0.6927,0.8152,0.99,211.0,3.0,17.0,2.0,sqrt,True,balanced,,,,,,,,,
5,XGB,1,0.6252,0.7067,0.4605,0.4281,0.6908,0.6252,0.574,0.7554,0.8097,"{'pca__n_components': 0.99, 'clf__n_estimators': 377, 'clf__max_depth': 8, 'clf__learning_rate': 0.013949487378236085, 'clf__subsample': 0.831973487829518, 'clf__colsample_bytree': 0.6604587612046793, 'clf__min_child_weight': 4, 'clf__gamma': 4.30843432491714, 'clf__reg_alpha': 1.9861786702497763, 'clf__reg_lambda': 1.8901972743507778}",0.3906,0.4815,0.4313,0.7064,1.0,0.0308,0.0597,0.7874,0.7294,0.8692,0.7932,0.7725,0.99,377.0,8.0,,,,,,0.013949487378236085,0.831973487829518,0.6604587612046793,4.0,4.30843432491714,1.9861786702497763,1.8901972743507778,,
6,XGB,2,0.407,0.3717,0.3897,0.3346,0.3862,0.407,0.3562,0.5782,0.588,"{'pca__n_components': 0.99, 'clf__n_estimators': 104, 'clf__max_depth': 5, 'clf__learning_rate': 0.030711347565313584, 'clf__subsample': 0.8540327081272411, 'clf__colsample_bytree': 0.6691633489992398, 'clf__min_child_weight': 5, 'clf__gamma': 4.18036407388451, 'clf__reg_alpha': 0.9500338511915735, 'clf__reg_lambda': 1.7192997503911027}",0.352,0.6461,0.4557,0.6154,0.2692,0.0307,0.0551,0.5087,0.4938,0.4923,0.4931,0.6104,0.99,104.0,5.0,,,,,,0.030711347565313584,0.8540327081272411,0.6691633489992398,5.0,4.18036407388451,0.9500338511915735,1.7192997503911027,,
7,XGB,3,0.4422,0.5026,0.4856,0.3874,0.5531,0.4422,0.4058,0.6528,0.5938,"{'pca__n_components': 0.99, 'clf__n_estimators': 100, 'clf__max_depth': 9, 'clf__learning_rate': 0.07686740795737812, 'clf__subsample': 0.8343872902276027, 'clf__colsample_bytree': 0.7965812511573757, 'clf__min_child_weight': 5, 'clf__gamma': 4.672584902628975, 'clf__reg_alpha': 1.9905959355280975, 'clf__reg_lambda': 1.1054976009547572}",0.7038,0.3816,0.4948,0.6617,0.4675,0.102,0.1674,0.4978,0.3364,0.9732,0.5,0.7988,0.99,100.0,9.0,,,,,,0.07686740795737812,0.8343872902276027,0.7965812511573757,5.0,4.672584902628975,1.9905959355280975,1.1054976009547572,,
8,XGB,4,0.5262,0.54,0.4522,0.4363,0.5711,0.5262,0.5109,0.6862,0.6907,"{'pca__n_components': 0.99, 'clf__n_estimators': 53, 'clf__max_depth': 5, 'clf__learning_rate': 0.027951186539428453, 'clf__subsample': 0.9966424506211888, 'clf__colsample_bytree': 0.6959908476284626, 'clf__min_child_weight': 6, 'clf__gamma': 4.980082658737177, 'clf__reg_alpha': 0.0847126552944249, 'clf__reg_lambda': 1.4688257447521667}",0.3842,0.6497,0.4828,0.665,0.5405,0.1111,0.1843,0.6792,0.6953,0.5957,0.6417,0.7143,0.99,53.0,5.0,,,,,,0.027951186539428453,0.9966424506211888,0.6959908476284626,6.0,4.980082658737177,0.0847126552944249,1.4688257447521667,,
9,XGB,5,0.5865,0.5448,0.5234,0.4955,0.5684,0.5865,0.5471,0.7144,0.7544,"{'pca__n_components': 0.99, 'clf__n_estimators': 51, 'clf__max_depth': 5, 'clf__learning_rate': 0.03078266768786666, 'clf__subsample': 0.9981268751437544, 'clf__colsample_bytree': 0.689589490361874, 'clf__min_child_weight': 7, 'clf__gamma': 4.376220716713181, 'clf__reg_alpha': 0.28251750799275327, 'clf__reg_lambda': 1.4707076175177631}",0.634,0.5486,0.5882,0.711,0.4262,0.1307,0.2,0.6176,0.5741,0.8908,0.6982,0.8146,0.99,51.0,5.0,,,,,,0.03078266768786666,0.9981268751437544,0.689589490361874,7.0,4.376220716713181,0.28251750799275327,1.4707076175177631,,
10,DT,1,0.253,0.0843,0.3333,0.1346,0.064,0.253,0.1022,0.5,0.5395,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.253,1.0,0.4038,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.4083,0.1361,0.3333,0.1933,0.1667,0.4083,0.2367,0.5,0.5609,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.4083,1.0,0.5798,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.2328,0.0776,0.3333,0.1259,0.0542,0.2328,0.0879,0.5,0.4785,"{'pca__n_components': 0.7, 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2328,1.0,0.3777,0.5,0.7,,1.0,2.0,4.0,log2,,,,,,,,,,gini,random
13,DT,4,0.5232,0.6192,0.3577,0.2803,0.6003,0.5232,0.383,0.5146,0.6693,"{'pca__n_components': 0.95, 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 17, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.7273,0.0255,0.0492,0.5049,0.6111,0.0611,0.1111,0.5235,0.5193,0.9865,0.6805,0.5155,0.95,,3.0,17.0,1.0,sqrt,,balanced,,,,,,,,entropy,random
14,DT,5,0.5601,0.444,0.4766,0.4279,0.4902,0.5601,0.5018,0.6667,0.7037,"{'pca__n_components': 0.9, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",0.5832,0.6733,0.625,0.67,0.2,0.0151,0.028,0.5895,0.5489,0.7414,0.6308,0.7407,0.9,,3.0,6.0,5.0,log2,,,,,,,,,,gini,best
15,RF,MEAN,0.4791,0.4679,0.4657,0.4341,0.5189,0.4791,0.4664,0.6756,0.6656,N/A,0.4942,0.4179,0.4201,0.6652,0.3485,0.2558,0.2857,0.626,0.561,0.7232,0.5964,0.7356,,,,,,,,,,,,,,,,,
16,RF,STD,0.0772,0.0621,0.0605,0.0698,0.0848,0.0772,0.0893,0.0721,0.0841,N/A,0.1823,0.1375,0.0558,0.0726,0.0669,0.1117,0.0962,0.1071,0.1711,0.2087,0.0942,0.0828,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5174,0.5332,0.4623,0.4164,0.5539,0.5174,0.4788,0.6774,0.6873,N/A,0.4929,0.5415,0.4906,0.6719,0.5407,0.0811,0.1333,0.6181,0.5658,0.7642,0.6252,0.7421,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0926,0.1197,0.0491,0.0598,0.1088,0.0926,0.0937,0.067,0.0976,N/A,0.1632,0.1139,0.0599,0.0389,0.2753,0.0471,0.0703,0.1213,0.1592,0.208,0.1294,0.0829,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.3955,0.2722,0.3668,0.2324,0.2751,0.3955,0.2623,0.5363,0.5904,N/A,0.3127,0.3398,0.2156,0.535,0.1622,0.0152,0.0278,0.5226,0.3419,0.7456,0.4538,0.5512,,,,,,,,,,,,,,,,,
20,DT,STD,0.1503,0.2458,0.0623,0.1254,0.2535,0.1503,0.1793,0.0732,0.0936,N/A,0.3332,0.4682,0.2845,0.0755,0.2655,0.0265,0.0481,0.0388,0.2278,0.4311,0.2785,0.1061,,,,,,,,,,,,,,,,,
