,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
0,RF,1,0.8045,0.8041,0.7965,0.7991,0.8043,0.8045,0.8032,0.8026,0.7333,0.7664,0.8057,0.8598,0.8319,0.9115,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 3, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",30.0,f_classif,411.0,3.0,15.0,4.0,sqrt,False,,,,,,,,,,
1,RF,2,0.5355,0.5655,0.5557,0.5249,0.573,0.5355,0.5179,0.6412,0.3516,0.4542,0.4898,0.7598,0.5957,0.5824,81,f_classif,"{'selector__k': 81, 'selector__score_func': 'f_classif', 'clf__n_estimators': 443, 'clf__max_depth': 3, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': None}",81.0,f_classif,443.0,3.0,18.0,8.0,sqrt,False,,,,,,,,,,
2,RF,3,0.7902,0.7837,0.7968,0.7856,0.8037,0.7902,0.7926,0.6935,0.8263,0.7541,0.8739,0.7672,0.8171,0.8564,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 411, 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",30.0,f_classif,411.0,4.0,14.0,5.0,sqrt,False,balanced,,,,,,,,,
3,RF,4,0.7899,0.778,0.7921,0.7818,0.801,0.7899,0.7924,0.6875,0.801,0.7399,0.8686,0.7832,0.8237,0.8231,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 197, 'clf__max_depth': 11, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",40.0,f_classif,197.0,11.0,13.0,10.0,sqrt,True,balanced,,,,,,,,,
4,RF,5,0.6545,0.6892,0.6929,0.6544,0.7304,0.6545,0.6561,0.5244,0.8464,0.6476,0.8541,0.5393,0.6612,0.7826,30,f_classif,"{'selector__k': 30, 'selector__score_func': 'f_classif', 'clf__n_estimators': 298, 'clf__max_depth': 3, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",30.0,f_classif,298.0,3.0,16.0,5.0,sqrt,False,balanced,,,,,,,,,
5,XGB,1,0.7942,0.8173,0.7743,0.7798,0.8098,0.7942,0.7868,0.8771,0.6157,0.7235,0.7574,0.9329,0.8361,0.8956,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 82, 'clf__max_depth': 11, 'clf__learning_rate': 0.01932680609399783, 'clf__subsample': 0.7100788600949357, 'clf__colsample_bytree': 0.7299070936617522, 'clf__min_child_weight': 9, 'clf__gamma': 4.238451435500281, 'clf__reg_alpha': 1.2638622489821212, 'clf__reg_lambda': 1.7568187299563713}",10.0,f_classif,82.0,11.0,,,,,,0.01932680609399783,0.7100788600949357,0.7299070936617522,9.0,4.238451435500281,1.2638622489821212,1.7568187299563713,,
6,XGB,2,0.5621,0.5599,0.5604,0.5597,0.5646,0.5621,0.5629,0.6068,0.5774,0.5917,0.513,0.5433,0.5277,0.592,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 414, 'clf__max_depth': 9, 'clf__learning_rate': 0.026253849262148795, 'clf__subsample': 0.9328922899403012, 'clf__colsample_bytree': 0.9560628465410417, 'clf__min_child_weight': 4, 'clf__gamma': 4.083309885562551, 'clf__reg_alpha': 1.9131160871291226, 'clf__reg_lambda': 1.5586802726985463}",10.0,f_classif,414.0,9.0,,,,,,0.026253849262148795,0.9328922899403012,0.9560628465410417,4.0,4.083309885562551,1.9131160871291226,1.5586802726985463,,
7,XGB,3,0.7902,0.7792,0.7826,0.7808,0.7918,0.7902,0.7908,0.7225,0.7485,0.7353,0.8359,0.8168,0.8263,0.8425,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__n_estimators': 86, 'clf__max_depth': 3, 'clf__learning_rate': 0.013274829509328366, 'clf__subsample': 0.8727769394544769, 'clf__colsample_bytree': 0.8703467651727851, 'clf__min_child_weight': 1, 'clf__gamma': 3.9846955203518757, 'clf__reg_alpha': 0.9205376674689867, 'clf__reg_lambda': 0.7540464245558848}",10.0,f_classif,86.0,3.0,,,,,,0.013274829509328366,0.8727769394544769,0.8703467651727851,1.0,3.9846955203518757,0.9205376674689867,0.7540464245558848,,
8,XGB,4,0.7772,0.7623,0.7692,0.7651,0.7812,0.7772,0.7786,0.6878,0.7379,0.7119,0.8369,0.8006,0.8183,0.8234,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__n_estimators': 76, 'clf__max_depth': 5, 'clf__learning_rate': 0.018740093396043534, 'clf__subsample': 0.6973990301077467, 'clf__colsample_bytree': 0.647884778637983, 'clf__min_child_weight': 4, 'clf__gamma': 3.2832706526841156, 'clf__reg_alpha': 1.6574583371563276, 'clf__reg_lambda': 0.23435902701124187}",51.0,f_classif,76.0,5.0,,,,,,0.018740093396043534,0.6973990301077467,0.647884778637983,4.0,3.2832706526841156,1.6574583371563276,0.23435902701124187,,
9,XGB,5,0.6601,0.675,0.6846,0.6583,0.7108,0.6601,0.6645,0.5318,0.7828,0.6333,0.8182,0.5865,0.6832,0.7702,40,f_classif,"{'selector__k': 40, 'selector__score_func': 'f_classif', 'clf__n_estimators': 52, 'clf__max_depth': 10, 'clf__learning_rate': 0.03324055826093337, 'clf__subsample': 0.9989778774182202, 'clf__colsample_bytree': 0.6075182773179265, 'clf__min_child_weight': 5, 'clf__gamma': 2.7161279181214786, 'clf__reg_alpha': 1.3105108459114867, 'clf__reg_lambda': 0.003314641032525563}",40.0,f_classif,52.0,10.0,,,,,,0.03324055826093337,0.9989778774182202,0.6075182773179265,5.0,2.7161279181214786,1.3105108459114867,0.003314641032525563,,
10,DT,1,0.8319,0.8369,0.841,0.8317,0.8472,0.8319,0.8324,0.754,0.9137,0.8262,0.9197,0.7683,0.8372,0.8742,10,f_classif,"{'selector__k': 10, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",10.0,f_classif,,3.0,7.0,8.0,sqrt,,,,,,,,,,gini,random
11,DT,2,0.5284,0.534,0.534,0.5284,0.5393,0.5284,0.5282,0.5873,0.4774,0.5267,0.4808,0.5906,0.53,0.5335,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,4.0,6.0,8.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.7855,0.8057,0.8157,0.7851,0.8392,0.7855,0.7872,0.6543,0.9521,0.7756,0.957,0.6794,0.7946,0.8281,71,f_classif,"{'selector__k': 71, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 7, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",71.0,f_classif,,2.0,7.0,7.0,,,,,,,,,,,gini,random
13,DT,4,0.7337,0.7194,0.6923,0.6992,0.7279,0.7337,0.725,0.6855,0.5291,0.5973,0.7532,0.8555,0.8011,0.7871,20,f_classif,"{'selector__k': 20, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",20.0,f_classif,,2.0,18.0,3.0,,,,,,,,,,,gini,random
14,DT,5,0.6447,0.6461,0.6558,0.6395,0.6777,0.6447,0.6503,0.5194,0.7004,0.5965,0.7727,0.6112,0.6826,0.6694,51,f_classif,"{'selector__k': 51, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",51.0,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
15,RF,MEAN,0.7149,0.7241,0.7268,0.7092,0.7425,0.7149,0.7124,0.6698,0.7117,0.6724,0.7784,0.7419,0.7459,0.7912,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
16,RF,STD,0.1174,0.099,0.1054,0.1185,0.0998,0.1174,0.1246,0.1006,0.2058,0.1307,0.1636,0.12,0.1098,0.1259,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7168,0.7187,0.7142,0.7087,0.7316,0.7168,0.7167,0.6852,0.6925,0.6791,0.7523,0.736,0.7383,0.7847,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
18,XGB,STD,0.1027,0.103,0.0947,0.0977,0.1006,0.1027,0.1008,0.1303,0.0901,0.0631,0.1376,0.165,0.1333,0.1167,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.7048,0.7084,0.7078,0.6968,0.7263,0.7048,0.7046,0.6401,0.7145,0.6645,0.7767,0.701,0.7291,0.7385,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
20,DT,STD,0.1207,0.1229,0.125,0.12,0.1272,0.1207,0.12,0.0903,0.2162,0.1291,0.1878,0.1108,0.1255,0.1375,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
