,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.6802,0.6414,0.6402,0.6408,0.6789,0.6802,0.6795,0.5263,0.5172,0.5217,0.7565,0.7632,0.7598,0.7086,"{'n_estimators': 95, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}",95.0,3.0,17.0,3.0,sqrt,True,,,,,,,,,
1,RF,2,0.7326,0.7313,0.7247,0.7263,0.7319,0.7326,0.7306,0.7246,0.6494,0.6849,0.7379,0.8,0.7677,0.8087,"{'n_estimators': 415, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",415.0,3.0,18.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.7343,0.7321,0.7308,0.7313,0.7338,0.7343,0.7339,0.7143,0.6923,0.7031,0.75,0.7692,0.7595,0.8215,"{'n_estimators': 254, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': False}",254.0,4.0,14.0,4.0,sqrt,False,,,,,,,,,
3,RF,4,0.7266,0.7367,0.7131,0.7138,0.7338,0.7266,0.7195,0.7674,0.569,0.6535,0.7059,0.8571,0.7742,0.803,"{'n_estimators': 160, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",160.0,5.0,19.0,10.0,,True,,,,,,,,,
4,RF,5,0.7135,0.7074,0.7208,0.7067,0.7363,0.7135,0.7179,0.5926,0.75,0.6621,0.8222,0.6916,0.7513,0.8179,"{'n_estimators': 357, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}",357.0,3.0,10.0,4.0,log2,False,,,,,,,,,
5,XGB,1,0.686,0.6472,0.6446,0.6458,0.6835,0.686,0.6847,0.5357,0.5172,0.5263,0.7586,0.7719,0.7652,0.6932,"{'n_estimators': 270, 'max_depth': 3, 'learning_rate': 0.012856335678889228, 'subsample': 0.7082994046744213, 'colsample_bytree': 0.840383391059547, 'min_child_weight': 2, 'gamma': 4.985811179856299, 'reg_alpha': 1.8080156658657442, 'reg_lambda': 1.364041880457118}",270.0,3.0,,,,,0.012856335678889228,0.7082994046744213,0.840383391059547,2.0,4.985811179856299,1.8080156658657442,1.364041880457118,,
6,XGB,2,0.7326,0.7374,0.7198,0.7217,0.7357,0.7326,0.7274,0.7541,0.5974,0.6667,0.7207,0.8421,0.7767,0.8074,"{'n_estimators': 435, 'max_depth': 9, 'learning_rate': 0.019660119452090414, 'subsample': 0.6829301392693443, 'colsample_bytree': 0.9951335095476329, 'min_child_weight': 7, 'gamma': 4.992483437747104, 'reg_alpha': 1.3421742732589848, 'reg_lambda': 0.21164602700576385}",435.0,9.0,,,,,0.019660119452090414,0.6829301392693443,0.9951335095476329,7.0,4.992483437747104,1.3421742732589848,0.21164602700576385,,
7,XGB,3,0.7203,0.719,0.7141,0.7153,0.7197,0.7203,0.7187,0.7119,0.6462,0.6774,0.7262,0.7821,0.7531,0.8209,"{'n_estimators': 310, 'max_depth': 4, 'learning_rate': 0.018993885081901588, 'subsample': 0.7108183331180387, 'colsample_bytree': 0.7554907240357214, 'min_child_weight': 4, 'gamma': 2.739966411159732, 'reg_alpha': 1.659342035862811, 'reg_lambda': 1.0775168319451227}",310.0,4.0,,,,,0.018993885081901588,0.7108183331180387,0.7554907240357214,4.0,2.739966411159732,1.659342035862811,1.0775168319451227,,
8,XGB,4,0.7422,0.7503,0.7303,0.732,0.7478,0.7422,0.7369,0.7778,0.6034,0.6796,0.7229,0.8571,0.7843,0.8002,"{'n_estimators': 251, 'max_depth': 3, 'learning_rate': 0.012268535787936935, 'subsample': 0.9141393890743393, 'colsample_bytree': 0.7265561974721699, 'min_child_weight': 4, 'gamma': 2.8440884993407276, 'reg_alpha': 1.5087784008668277, 'reg_lambda': 1.8870821080895925}",251.0,3.0,,,,,0.012268535787936935,0.9141393890743393,0.7265561974721699,4.0,2.8440884993407276,1.5087784008668277,1.8870821080895925,,
9,XGB,5,0.7251,0.7191,0.7333,0.7186,0.7479,0.7251,0.7294,0.6049,0.7656,0.6759,0.8333,0.7009,0.7614,0.8141,"{'n_estimators': 296, 'max_depth': 11, 'learning_rate': 0.017508202241309404, 'subsample': 0.8980856939932257, 'colsample_bytree': 0.8526333921184072, 'min_child_weight': 7, 'gamma': 4.97842682965498, 'reg_alpha': 1.6319631849002305, 'reg_lambda': 0.5558383229531773}",296.0,11.0,,,,,0.017508202241309404,0.8980856939932257,0.8526333921184072,7.0,4.97842682965498,1.6319631849002305,0.5558383229531773,,
10,DT,1,0.686,0.6488,0.6488,0.6488,0.686,0.686,0.686,0.5345,0.5345,0.5345,0.7632,0.7632,0.7632,0.6774,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",,3.0,7.0,9.0,,,,,,,,,,entropy,best
11,DT,2,0.7151,0.7445,0.731,0.7135,0.7565,0.7151,0.7112,0.6296,0.8831,0.7351,0.8594,0.5789,0.6918,0.7148,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",,3.0,6.0,9.0,,,,,,,,,,entropy,best
12,DT,3,0.6084,0.6366,0.5795,0.546,0.6327,0.6084,0.5613,0.68,0.2615,0.3778,0.5932,0.8974,0.7143,0.7299,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'splitter': 'best'}",,3.0,15.0,7.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.6328,0.6439,0.6111,0.5993,0.6417,0.6328,0.6102,0.6667,0.3793,0.4835,0.6211,0.8429,0.7152,0.7466,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",,2.0,10.0,9.0,,,,,,,,,,entropy,best
14,DT,5,0.7485,0.7478,0.7645,0.7443,0.7791,0.7485,0.7526,0.6235,0.8281,0.7114,0.8721,0.7009,0.7772,0.7648,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 9, 'max_features': 'log2', 'splitter': 'best'}",,4.0,16.0,9.0,log2,,,,,,,,,gini,best
15,RF,MEAN,0.7174,0.7098,0.7059,0.7038,0.7229,0.7174,0.7163,0.665,0.6356,0.6451,0.7545,0.7762,0.7625,0.7919,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0224,0.0399,0.0373,0.0365,0.0247,0.0224,0.0217,0.1012,0.0935,0.0717,0.0426,0.0602,0.0087,0.0472,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7212,0.7146,0.7084,0.7067,0.7269,0.7212,0.7194,0.6769,0.626,0.6452,0.7523,0.7908,0.7681,0.7872,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0214,0.0399,0.0365,0.0346,0.0269,0.0214,0.0205,0.1031,0.0909,0.0666,0.0478,0.0623,0.0124,0.0531,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6782,0.6843,0.667,0.6504,0.6992,0.6782,0.6643,0.6269,0.5773,0.5685,0.7418,0.7567,0.7323,0.7267,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0577,0.0566,0.0786,0.0811,0.0663,0.0577,0.0775,0.0569,0.2726,0.1524,0.1303,0.1245,0.0362,0.0333,N/A,,,,,,,,,,,,,,,
