,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.7575,0.7576,0.7574,0.7574,0.7576,0.7575,0.7574,0.7536,0.7704,0.7619,0.7615,0.7444,0.7529,"{'n_estimators': 250, 'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}",250.0,3.0,13.0,5.0,,True,,,,,,,,,
1,RF,2,0.6489,0.6355,0.6038,0.5995,0.6405,0.6489,0.6263,0.6093,0.368,0.4589,0.6617,0.8397,0.7401,"{'n_estimators': 104, 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}",104.0,3.0,11.0,9.0,log2,True,,,,,,,,,
2,RF,3,0.7718,0.7711,0.7709,0.771,0.7717,0.7718,0.7718,0.7596,0.7554,0.7575,0.7826,0.7864,0.7845,"{'n_estimators': 486, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",486.0,3.0,20.0,10.0,sqrt,False,,,,,,,,,
3,RF,4,0.6772,0.6897,0.6893,0.6772,0.7016,0.6772,0.677,0.5986,0.7828,0.6784,0.7808,0.5958,0.6759,"{'n_estimators': 233, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}",233.0,3.0,16.0,5.0,sqrt,True,,,,,,,,,
4,RF,5,0.7712,0.771,0.7878,0.7678,0.8001,0.7712,0.7746,0.6507,0.8563,0.7395,0.8913,0.7193,0.7961,"{'n_estimators': 361, 'max_depth': 3, 'min_samples_split': 15, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': False}",361.0,3.0,15.0,9.0,,False,,,,,,,,,
5,XGB,1,0.694,0.7059,0.6949,0.6901,0.7063,0.694,0.6899,0.7573,0.5778,0.6555,0.6545,0.812,0.7248,"{'n_estimators': 108, 'max_depth': 9, 'learning_rate': 0.028384751942895404, 'subsample': 0.6379535208204465, 'colsample_bytree': 0.994483952944437, 'min_child_weight': 3, 'gamma': 3.7417379735961407, 'reg_alpha': 1.2065158462718286, 'reg_lambda': 0.010779401703937867}",108.0,9.0,,,,,0.028384751942895404,0.6379535208204465,0.994483952944437,3.0,3.7417379735961407,1.2065158462718286,0.010779401703937867,,
6,XGB,2,0.6764,0.6687,0.6366,0.6368,0.6718,0.6764,0.6597,0.6524,0.428,0.5169,0.685,0.8451,0.7567,"{'n_estimators': 80, 'max_depth': 3, 'learning_rate': 0.0536097259776323, 'subsample': 0.9214373883659217, 'colsample_bytree': 0.753040360130198, 'min_child_weight': 4, 'gamma': 0.373253746218435, 'reg_alpha': 0.1957578106671043, 'reg_lambda': 1.7051299982664783}",80.0,3.0,,,,,0.0536097259776323,0.9214373883659217,0.753040360130198,4.0,0.373253746218435,0.1957578106671043,1.7051299982664783,,
7,XGB,3,0.7513,0.7529,0.7477,0.7485,0.7523,0.7513,0.75,0.7636,0.6848,0.7221,0.7422,0.8107,0.7749,"{'n_estimators': 186, 'max_depth': 3, 'learning_rate': 0.010320776639609446, 'subsample': 0.6527207681482519, 'colsample_bytree': 0.777685724416138, 'min_child_weight': 7, 'gamma': 2.6564248376658894, 'reg_alpha': 0.30387580226238625, 'reg_lambda': 0.46675031340062567}",186.0,3.0,,,,,0.010320776639609446,0.6527207681482519,0.777685724416138,7.0,2.6564248376658894,0.30387580226238625,0.46675031340062567,,
8,XGB,4,0.6614,0.6737,0.6733,0.6614,0.6852,0.6614,0.6612,0.5848,0.7647,0.6627,0.7626,0.5819,0.6601,"{'n_estimators': 435, 'max_depth': 3, 'learning_rate': 0.010169261160219944, 'subsample': 0.8876628060388142, 'colsample_bytree': 0.9646768081772031, 'min_child_weight': 5, 'gamma': 1.9791428725852591, 'reg_alpha': 0.9048427174994054, 'reg_lambda': 0.024774184368885926}",435.0,3.0,,,,,0.010169261160219944,0.8876628060388142,0.9646768081772031,5.0,1.9791428725852591,0.9048427174994054,0.024774184368885926,,
9,XGB,5,0.7625,0.7489,0.7562,0.7517,0.7676,0.7625,0.7642,0.672,0.7299,0.6997,0.8259,0.7825,0.8036,"{'n_estimators': 382, 'max_depth': 8, 'learning_rate': 0.010484491810365239, 'subsample': 0.8520779079976167, 'colsample_bytree': 0.8248314235353149, 'min_child_weight': 3, 'gamma': 3.453269159253218, 'reg_alpha': 0.6540502747583534, 'reg_lambda': 1.3615312157450883}",382.0,8.0,,,,,0.010484491810365239,0.8520779079976167,0.8248314235353149,3.0,3.453269159253218,0.6540502747583534,1.3615312157450883,,
10,DT,1,0.7201,0.7222,0.7198,0.7193,0.722,0.7201,0.7194,0.7027,0.7704,0.735,0.7417,0.6692,0.7036,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 9, 'max_features': None, 'splitter': 'best'}",,1.0,17.0,9.0,,,,,,,,,,gini,best
11,DT,2,0.6521,0.6412,0.6053,0.6,0.6451,0.6521,0.6276,0.6207,0.36,0.4557,0.6617,0.8505,0.7444,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,3.0,17.0,7.0,log2,,,,,,,,,gini,best
12,DT,3,0.6308,0.702,0.6461,0.609,0.7096,0.6308,0.6038,0.5671,0.9185,0.7012,0.837,0.3738,0.5168,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,1.0,17.0,7.0,log2,,,,,,,,,entropy,best
13,DT,4,0.6949,0.7148,0.7107,0.6946,0.7285,0.6949,0.6934,0.6093,0.8326,0.7036,0.8204,0.5889,0.6856,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'best'}",,1.0,18.0,3.0,,,,,,,,,,gini,best
14,DT,5,0.8235,0.8243,0.8445,0.8211,0.8541,0.8235,0.8261,0.7013,0.931,0.8,0.9474,0.7579,0.8421,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 4, 'min_samples_leaf': 7, 'max_features': None, 'splitter': 'best'}",,2.0,4.0,7.0,,,,,,,,,,gini,best
15,RF,MEAN,0.7253,0.725,0.7218,0.7146,0.7343,0.7253,0.7214,0.6744,0.7066,0.6792,0.7756,0.7371,0.7499,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.058,0.0603,0.0759,0.075,0.0635,0.058,0.0665,0.0776,0.1932,0.1276,0.0816,0.0912,0.0472,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.7091,0.71,0.7017,0.6977,0.7166,0.7091,0.705,0.686,0.637,0.6514,0.734,0.7664,0.744,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0453,0.04,0.0504,0.0514,0.0418,0.0453,0.0493,0.0753,0.1364,0.0799,0.0672,0.1055,0.0549,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.7043,0.7209,0.7053,0.6888,0.7319,0.7043,0.6941,0.6402,0.7625,0.6791,0.8016,0.6481,0.6985,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0753,0.066,0.091,0.0904,0.076,0.0753,0.0875,0.0598,0.2344,0.1311,0.1073,0.1818,0.1183,N/A,,,,,,,,,,,,,,,
