,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
0,RF,1,0.4887,0.4834,0.4062,0.3584,0.5205,0.4887,0.4309,"{'n_estimators': 409, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 9, 'max_features': 'sqrt', 'bootstrap': False}",0.2449,0.3673,0.2939,0.5714,0.0364,0.0684,0.6337,0.8148,0.713,409.0,3.0,19.0,9.0,sqrt,False,,,,,,,,,
1,RF,2,0.4839,0.5284,0.4906,0.3954,0.5736,0.4839,0.4299,"{'n_estimators': 455, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': False}",0.3155,0.7927,0.4514,0.5714,0.0339,0.064,0.6981,0.6453,0.6707,455.0,3.0,17.0,10.0,sqrt,False,,,,,,,,,
2,RF,3,0.5315,0.5232,0.5204,0.5119,0.5358,0.5315,0.5237,"{'n_estimators': 433, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_features': None, 'bootstrap': True}",0.5946,0.4783,0.5301,0.4625,0.3627,0.4066,0.5124,0.7203,0.5988,433.0,15.0,4.0,9.0,,True,,,,,,,,,
3,RF,4,0.5612,0.5241,0.5233,0.5083,0.5995,0.5612,0.5621,"{'n_estimators': 416, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_features': 'log2', 'bootstrap': False}",0.7202,0.4587,0.5605,0.2734,0.3684,0.3139,0.5788,0.7426,0.6506,416.0,5.0,9.0,10.0,log2,False,,,,,,,,,
4,RF,5,0.6586,0.6659,0.6149,0.6107,0.6631,0.6586,0.6382,"{'n_estimators': 143, 'max_depth': 5, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True}",0.6603,0.6866,0.6732,0.6863,0.3017,0.4192,0.6513,0.8564,0.7399,143.0,5.0,17.0,10.0,,True,,,,,,,,,
5,XGB,1,0.5189,0.4912,0.4585,0.4526,0.5284,0.5189,0.5046,"{'n_estimators': 497, 'max_depth': 5, 'learning_rate': 0.07486191145946418, 'subsample': 0.8773661636418324, 'colsample_bytree': 0.6699117964731666, 'min_child_weight': 4, 'gamma': 4.444253028059203, 'reg_alpha': 1.8302706423325932, 'reg_lambda': 0.14714366708004473}",0.2946,0.3878,0.3348,0.5306,0.2364,0.327,0.6484,0.7513,0.6961,497.0,5.0,,,,,0.07486191145946418,0.8773661636418324,0.6699117964731666,4.0,4.444253028059203,1.8302706423325932,0.14714366708004473,,
6,XGB,2,0.5403,0.5749,0.5344,0.5013,0.6131,0.5403,0.5312,"{'n_estimators': 281, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'subsample': 0.8430179407605753, 'colsample_bytree': 0.6682096494749166, 'min_child_weight': 1, 'gamma': 4.7444276862666666, 'reg_alpha': 1.9312640661491187, 'reg_lambda': 1.6167946962329223}",0.3478,0.6829,0.4609,0.6905,0.2458,0.3625,0.6864,0.6744,0.6804,281.0,8.0,,,,,0.011711509955524094,0.8430179407605753,0.6682096494749166,1.0,4.7444276862666666,1.9312640661491187,1.6167946962329223,,
7,XGB,3,0.5361,0.5334,0.5331,0.517,0.5481,0.5361,0.5244,"{'n_estimators': 154, 'max_depth': 10, 'learning_rate': 0.23796790723092823, 'subsample': 0.6634357958393464, 'colsample_bytree': 0.7813438016356016, 'min_child_weight': 5, 'gamma': 3.56838082919581, 'reg_alpha': 0.010917150754625737, 'reg_lambda': 1.1928294472408008}",0.619,0.4239,0.5032,0.4651,0.3922,0.4255,0.5161,0.7832,0.6222,154.0,10.0,,,,,0.23796790723092823,0.6634357958393464,0.7813438016356016,5.0,3.56838082919581,0.010917150754625737,1.1928294472408008,,
8,XGB,4,0.5567,0.5281,0.5464,0.5229,0.5942,0.5567,0.563,"{'n_estimators': 222, 'max_depth': 3, 'learning_rate': 0.12155739906600938, 'subsample': 0.6703777471472729, 'colsample_bytree': 0.769315045951851, 'min_child_weight': 9, 'gamma': 2.9850934304049366, 'reg_alpha': 1.823184483016095, 'reg_lambda': 1.1536707461199618}",0.6825,0.4752,0.5603,0.3052,0.4947,0.3775,0.5967,0.6691,0.6308,222.0,3.0,,,,,0.12155739906600938,0.6703777471472729,0.769315045951851,9.0,2.9850934304049366,1.823184483016095,1.1536707461199618,,
9,XGB,5,0.6586,0.648,0.6215,0.6168,0.6589,0.6586,0.6433,"{'n_estimators': 376, 'max_depth': 5, 'learning_rate': 0.0942708125988409, 'subsample': 0.6713491229991461, 'colsample_bytree': 0.7101750541920466, 'min_child_weight': 2, 'gamma': 4.610053904047011, 'reg_alpha': 1.8111968211607752, 'reg_lambda': 1.6883143950218236}",0.7263,0.6468,0.6842,0.5882,0.3448,0.4348,0.6295,0.8729,0.7315,376.0,5.0,,,,,0.0942708125988409,0.6713491229991461,0.7101750541920466,2.0,4.610053904047011,1.8111968211607752,1.6883143950218236,,
10,DT,1,0.4635,0.3361,0.4277,0.3563,0.417,0.4635,0.4206,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'log2', 'splitter': 'best'}",0.2751,0.6429,0.3853,0.0,0.0,0.0,0.7333,0.6402,0.6836,,3.0,14.0,5.0,log2,,,,,,,,,gini,best
11,DT,2,0.5027,0.4906,0.4992,0.4236,0.5425,0.5027,0.4629,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 5, 'max_features': None, 'splitter': 'best'}",0.3177,0.7439,0.4453,0.4211,0.0678,0.1168,0.7329,0.686,0.7087,,3.0,19.0,5.0,,,,,,,,,,entropy,best
12,DT,3,0.4569,0.4257,0.4292,0.4252,0.4444,0.4569,0.4489,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",0.4819,0.5054,0.4934,0.2857,0.2157,0.2458,0.5094,0.5664,0.5364,,5.0,16.0,7.0,log2,,,,,,,,,gini,best
13,DT,4,0.4164,0.5098,0.4754,0.3877,0.6052,0.4164,0.4073,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'splitter': 'best'}",0.7302,0.1518,0.2514,0.1871,0.6421,0.2898,0.6121,0.6324,0.6221,,3.0,6.0,5.0,sqrt,,,,,,,,,gini,best
14,DT,5,0.6064,0.4047,0.5283,0.4583,0.4649,0.6064,0.5263,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",0.5891,0.7562,0.6623,0.0,0.0,0.0,0.625,0.8287,0.7126,,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.5448,0.545,0.5111,0.4769,0.5785,0.5448,0.517,N/A,0.5071,0.5567,0.5018,0.513,0.2206,0.2544,0.6149,0.7559,0.6746,,,,,,,,,,,,,,,
16,RF,STD,0.0712,0.07,0.0749,0.101,0.0566,0.0712,0.0891,N/A,0.2133,0.1762,0.1409,0.1556,0.1713,0.1766,0.0714,0.0825,0.0549,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5621,0.5551,0.5388,0.5221,0.5885,0.5621,0.5533,N/A,0.534,0.5233,0.5087,0.5159,0.3428,0.3855,0.6154,0.7502,0.6722,,,,,,,,,,,,,,,
18,XGB,STD,0.0556,0.0598,0.0579,0.0597,0.0521,0.0556,0.0545,N/A,0.1989,0.1335,0.1285,0.144,0.1075,0.0448,0.0643,0.0844,0.0457,,,,,,,,,,,,,,,
19,DT,MEAN,0.4892,0.4334,0.472,0.4102,0.4948,0.4892,0.4532,N/A,0.4788,0.56,0.4475,0.1788,0.1851,0.1305,0.6425,0.6707,0.6527,,,,,,,,,,,,,,,
20,DT,STD,0.0723,0.0697,0.0439,0.0391,0.0774,0.0723,0.0464,N/A,0.189,0.2494,0.1505,0.1831,0.2702,0.135,0.094,0.0981,0.0744,,,,,,,,,,,,,,,
